timestamp,set,rep,detected
2026-06-24 18:00:24,1,1,정상
2026-06-24 18:00:32,1,2,정상
2026-06-24 18:25:39,2,1,정상
2026-06-24 18:25:46,2,2,정상
2026-06-24 18:25:56,2,3,정상
2026-06-24 19:02:51,3,1,정상
2026-06-24 19:03:01,3,2,정상
2026-06-24 19:03:12,3,3,정상
2026-07-01 09:33:34,4,1,정상
2026-07-01 09:34:25,4,2,정상
2026-07-01 09:34:37,4,3,정상
2026-07-01 14:28:52,5,1,정상
2026-07-01 14:28:58,5,2,정상
2026-07-01 14:29:04,5,3,정상
2026-07-01 14:32:34,6,1,정상
2026-07-01 14:32:39,6,2,정상
2026-07-01 14:32:43,6,3,정상
2026-07-21 11:02:22,7,1,정상
2026-07-22 15:35:24,8,1,정상
2026-07-22 15:36:13,9,1,정상
2026-07-22 15:36:59,10,1,정상
2026-07-22 15:37:50,11,1,정상
2026-07-22 15:38:20,12,1,정상
2026-07-22 15:38:57,13,1,정상
2026-07-22 15:57:39,14,1,정상
2026-07-22 15:57:49,15,1,정상
2026-07-22 15:58:02,16,1,정상
2026-07-22 15:58:51,17,1,정상
2026-07-22 15:58:55,18,1,정상
2026-07-22 15:58:59,19,1,정상
2026-07-22 15:59:05,20,1,정상
2026-07-22 15:59:08,21,1,정상
2026-07-22 15:59:11,22,1,정상
